CRE,Cod. INEP,Município,Latitude,Longitude,Idt. Estab,Designação,Denominação,Endereço,Fone,CEP,Cod.Munic.IBGE (7)
1,43106811,Porto Alegre,"-30,10287926","-51,22336368",10681,Esc Est Ens Fun,Monte Libano,R Lemuria 10,(51) 3246-9874,91760530,4314902
1,43106820,Porto Alegre,"-30,14415011","-51,11532189",10682,Esc Est Ens Fun,Nossa Senhora da Conceição,Av Avenida Joao Antonio Silveira 5070,(51) 99386-5196,91796022,4314902
1,43106838,Porto Alegre,"-30,02847391","-51,18280177",10683,Esc Est Ens Fun,Professora Maria Thereza da Silveira,R Furriel Luiz Antonio de Vargas 135,(51) 3330-7824,90470130,4314902
1,43106846,Porto Alegre,"-30,210244","-51,13878",10684,Esc Est Ens Fun,Nehyta Martins Ramos,Av do Lami 1150,5132591334,91782701,4314902
1,43106854,Porto Alegre,"-29,98749263","-51,13643952",10685,Esc Est Ens Fun,Professora Aurora Peixoto de Azevedo,R Pedro dos Santos Sa 50 Prédio,(51) 3344-1236,91120150,4314902
1,43106862,Porto Alegre,"-30,01489365","-51,20135123",10686,Esc Est Ens Fun,Olegario Mariano,R Olinda 99,5132682236,90240570,4314902
1,43106870,Porto Alegre,"-29,63","-53,35",10687,Esc Est Ens Fun,Oscar Schmitt,R do Pescador 690,(51) 3203-1915,90090170,4314902
1,43106889,Porto Alegre,"-30,10148987","-51,24528584",10688,Esc Est Ens Fun,Osório Duque Estrada,R Cidade de Natal 125,(51) 3268-3593,91900040,4314902
1,43106897,Porto Alegre,"-30,10436315","-51,23346247",10689,Esc Est Ens Fun,Otávio Mangabeira,R Silvio Silveira Soares 2711,5132427144,91910460,4314902
1,43106900,Porto Alegre,"-30,0294334","-51,2102218",10690,Esc Est Ens Fun,Othelo Rosa,Av Independência 1065,5132222492,90035077,4314902
1,43106919,Porto Alegre,"-30,01406219","-51,09682554",10691,Esc Est Ens Fun,Padre Leo,R Rua Nossa Senhora de Fatima 195 Prédio,(51) 3366-1088,91250472,4314902
1,43106927,Porto Alegre,"-30,12473546","-51,10429888",10692,Esc Est Ens Fun,Maria Cristina Chika,Etr Joao de Oliveira Remiao 6505,(51) 3319-8365,91560000,4314902
1,43106935,Porto Alegre,"-30,13817553","-51,21557146",10693,Esc Est Ens Fun,Paraiba CIEP,R Adao Pinheiro da Silva 490,(51) 3248-6569,91751030,4314902
1,43106943,Porto Alegre,"-30,0779951","-51,24216576",10694,Col Estadual,Parana,Av Taquari 395,(51) 3249-1222,90810180,4314902
1,43106951,Porto Alegre,"-30,17452771","-51,14443257",10695,Esc Est Ens Fun,Vicente da Fontoura,Etr Edgar Pires de Castro 5580,(51) 3248-2287,91785199,4314902
1,43106960,Porto Alegre,"-30,13356706","-51,19803605",10696,Esc Est Ens Fun,Paulina Moresco,R Tomé Antônio de Souza 160 Prédio,(51) 3261-2036,91750170,4314902
1,43106978,Porto Alegre,"-30,01616668","-51,17751514",10697,Esc Est Ens Fun,Padre Theodoro Amstad,R Valentim Vicentini 255,(51) 3341-6002,90520220,4314902
1,43106986,Porto Alegre,"-30,18311362","-51,16323291",10698,Esc Est Ens Fun,Pedro Américo,Etr Chapeu do Sol 1680,5132645377,91787030,4314902
1,43106994,Porto Alegre,"-30,1065444","-51,22427376",10699,Esc Est Ens Fun,Pedro Sirangelo,Av Jose Correa da Silva 380,5132415648,91740380,4314902
1,43107001,Porto Alegre,"-30,08823666","-51,22350773",10700,Esc Est Ens Fun,Piaui,R Gregorio da Fonseca 91,5132662033,90830260,4314902
1,43107036,Porto Alegre,"-30,0378948","-51,1255169",10703,Esc Est Ens Fun,Porto Alegre,R Joao Dallegrave 130,(51) 3387-7988,91260170,4314902
1,43107044,Porto Alegre,"-30,08543648","-51,20798483",10704,Esc Est Ens Fun,Simões Lopes Neto,Trv Irmao Pedro Sn,5133222548,91720360,4314902
1,43107052,Porto Alegre,"-30,24177024","-51,07901568",10705,Esc Est Ens Fun,Genoveva da Costa Bernardes,Etr Otaviano Jose Pinto 50,(51) 3259-6336,91787660,4314902
1,43107060,Porto Alegre,"-30,0720036","-51,22163728",10706,Esc Est Ens Fun,Professor Afonso Guerreiro Lima,R Rua Banco Ingles 300,5132320122,90840600,4314902
1,43107079,Porto Alegre,"-30,0389598","-51,12339285",10707,Esc Est Ens Med,Professor Alcides Cunha,R Helio Pimpao 52,(51) 3386-1032,91450330,4314902
1,43107087,Porto Alegre,"-30,0018358","-51,15675199",10708,Esc Est Ens Fun,Aurélio Reis,R Monte Alegre 119,5133625791,91040120,4314902
1,43107095,Porto Alegre,"-30,00438794","-51,17361501",10709,Esc Est Ens Fun,Prof Carlos Rodrigues da Silva,R Guaracapa 33,(51) 3341-9754,91030150,4314902
1,43107117,Porto Alegre,"-30,04251101","-51,17679074",10711,Esc Est Ens Fun,Professor Ivo Corseuil,R Mario Antunes da Cunha 195,(51) 3334-6216,90690400,4314902
1,43107125,Porto Alegre,"-30,00578129","-51,16174925",10712,Esc Est Ens Med,Professor Sarmento Leite,R Eugenio Du Pasquier 280,5133779874,91040350,4314902
1,43107133,Porto Alegre,"-30,11092709","-51,23242681",10713,Esc Est Ens Fun,Professora Violeta Magalhães,R Estrada Vila Maria 415,(51) 3241-0500,91920370,4314902
1,43107141,Porto Alegre,"-30,1557859","-51,22038348",10714,Esc Est Ens Fun,Professores Langendonck,R Jacunda 365,5132488576,91770430,4314902
1,43107150,Porto Alegre,"-30,09592592","-51,24316453",10715,Esc Est Ens Fun,Rafael Pinto Bandeira,R Coronel Claudino 254,(51) 3241-0047,91910670,4314902
1,43107168,Porto Alegre,"-30,03681415","-51,22270145",10716,Esc Est Ens Fun,Rio de Janeiro,R Gen Lima e Silva 400,5132248271,90050100,4314902
1,43107184,Porto Alegre,"-30,09792685","-51,23221867",10718,Esc Est Ens Med,Roque Gonzales,Av Cavalhada 2433,5132495727,91740001,4314902
1,43107192,Porto Alegre,"-30,05365934","-51,21927708",10719,Esc Est Ens Fun,William Richard Schisler,R Visconde do Herval 970,5132337511,90130150,4314902
1,43107206,Porto Alegre,"-30,07449767","-51,23028606",10720,Esc Est Ens Fun,Santa Rita de Cássia,R Silveiro 1640,5132314651,90850000,4314902
1,43107214,Porto Alegre,"-29,99709692","-51,10055923",10721,Esc Est Ens Med,Santa Rosa,Av Avenida Bernardino de Oliveira 665,5133671238,91160300,4314902
1,43107222,Porto Alegre,"-30,18355155","-51,078161",10722,Esc Est Ens Fun,São Caetano,Etr Sao Caetano 1600,(51) 3126-6006,91787740,4314902
1,43107230,Porto Alegre,"-30,1753","-51,082328",10723,Esc Est Ens Fun,Solimoes,Etr Estrada das Quirinas Sn,5133152886,91787730,4314902
1,43107257,Porto Alegre,"-30,07814243","-51,17010143",10725,Esc Est Ens Fun,Tenente Coronel Travassos Alves,R Chacara dos Bombeiros 3,(51) 3339-2992,91520160,4314902
1,43107265,Porto Alegre,"-30,02698116","-51,19884923",10726,Esc Est Ens Fun,Uruguai,Prq Parque Moinhos de Vento 200,5133322253,90440030,4314902
1,43107273,Porto Alegre,"-30,06966105","-51,20997486",10727,Esc Est Ens Fun,Venezuela,Av Niteroi Esquina Trav Viamao Sn,(51) 3223-1128,90880270,4314902
1,43107281,Porto Alegre,"-30,07358655","-51,20396646",10728,Esc Est Ens Fun,Vera Cruz,R Sinf Dona Luiza Rocco 155,(51) 3336-3043,90870050,4314902
1,43107290,Porto Alegre,"-30,0493835","-51,14567712",10729,Esc Est Ens Fun,Aldo Locatelli,R Rua Thomaz Francisco de Jesus Sn,(51) 3381-4599,91430750,4314902
